TimeStamp: 09, Mode: Other
TimeStamp: 276009, Mode: Other
TimeStamp: 2784011, Mode: Other
TimeStamp: 279608, Mode: Other
TimeStamp: 2808011, Mode: Other
TimeStamp: 282009, Mode: Other
TimeStamp: 283208, Mode: Other
TimeStamp: 285609, Mode: Other
TimeStamp: 288009, Mode: Other
TimeStamp: 290409, Mode: Other
TimeStamp: 291602, Mode: Other
TimeStamp: 292205, Mode: Other
TimeStamp: 292804, Mode: Other
TimeStamp: 294004, Mode: Other
TimeStamp: 295202, Mode: Other
TimeStamp: 2964011, Mode: Other
TimeStamp: 297605, Mode: Other
TimeStamp: 299404, Mode: Other
TimeStamp: 300009, Mode: Other
TimeStamp: 302409, Mode: Other
TimeStamp: 304809, Mode: Other
TimeStamp: 306608, Mode: Other
TimeStamp: 307209, Mode: Other
TimeStamp: 3084011, Mode: Other
TimeStamp: 309605, Mode: Other
TimeStamp: 310805, Mode: Other
TimeStamp: 312004, Mode: Other
TimeStamp: 313202, Mode: Other
TimeStamp: 314400, Mode: Other
TimeStamp: 316800, Mode: Other
TimeStamp: 3180011, Mode: Other
TimeStamp: 319209, Mode: Other
TimeStamp: 320408, Mode: Other
TimeStamp: 321609, Mode: Other
TimeStamp: 322800, Mode: Other
TimeStamp: 324002, Mode: Other
TimeStamp: 325204, Mode: Other
TimeStamp: 326405, Mode: Other
TimeStamp: 327600, Mode: Other
TimeStamp: 328808, Mode: Other
TimeStamp: 331209, Mode: Other
TimeStamp: 333600, Mode: Other
TimeStamp: 336002, Mode: Other
TimeStamp: 3372011, Mode: Other
TimeStamp: 338409, Mode: Other
TimeStamp: 339605, Mode: Other
TimeStamp: 340802, Mode: Other
TimeStamp: 3420010, Mode: Other
TimeStamp: 343201, Mode: Other
TimeStamp: 345602, Mode: Other
TimeStamp: 346803, Mode: Other
TimeStamp: 348004, Mode: Other
TimeStamp: 350401, Mode: Other
TimeStamp: 352805, Mode: Other
TimeStamp: 354006, Mode: Other
TimeStamp: 355207, Mode: Other
TimeStamp: 357602, Mode: Other
TimeStamp: 360009, Mode: Other
TimeStamp: 3624010, Mode: Other
TimeStamp: 364807, Mode: Other
TimeStamp: 3672010, Mode: Other
TimeStamp: 369609, Mode: Other
TimeStamp: 374402, Mode: Other
TimeStamp: 376809, Mode: Other
TimeStamp: 378008, Mode: Other
TimeStamp: 379207, Mode: Other
TimeStamp: 380405, Mode: Other
TimeStamp: 381607, Mode: Other
TimeStamp: 382804, Mode: Other
TimeStamp: 384007, Mode: Other
TimeStamp: 385205, Mode: Other
TimeStamp: 386404, Mode: Other
TimeStamp: 387602, Mode: Other
TimeStamp: 3888010, Mode: Other
TimeStamp: 3912010, Mode: Other
TimeStamp: 392401, Mode: Other
TimeStamp: 393602, Mode: Other
TimeStamp: 394804, Mode: Other
TimeStamp: 396004, Mode: Other
TimeStamp: 397202, Mode: Other
TimeStamp: 398407, Mode: Other
TimeStamp: 399606, Mode: Other
TimeStamp: 400805, Mode: Other
TimeStamp: 403202, Mode: Other
TimeStamp: 408005, Mode: Other
TimeStamp: 409209, Mode: Other
TimeStamp: 410407, Mode: Other
TimeStamp: 411609, Mode: Other
TimeStamp: 4128010, Mode: Other
TimeStamp: 415209, Mode: Other
TimeStamp: 417604, Mode: Other
TimeStamp: 420000, Mode: Other
TimeStamp: 4224010, Mode: Other
TimeStamp: 424801, Mode: Other
TimeStamp: 426004, Mode: Other
TimeStamp: 427207, Mode: Other
TimeStamp: 429607, Mode: Other
TimeStamp: 432002, Mode: Other
TimeStamp: 434400, Mode: Other
TimeStamp: 436805, Mode: Other
TimeStamp: 438009, Mode: Other
TimeStamp: 439207, Mode: Other
TimeStamp: 440407, Mode: Other
TimeStamp: 441607, Mode: Other
TimeStamp: 444007, Mode: Other
TimeStamp: 446402, Mode: Other
TimeStamp: 451206, Mode: Other
TimeStamp: 456006, Mode: Other
TimeStamp: 460802, Mode: Other
TimeStamp: 465607, Mode: Other
TimeStamp: 470407, Mode: Other
TimeStamp: 475202, Mode: Other
TimeStamp: 480008, Mode: Other
TimeStamp: 484809, Mode: Other
TimeStamp: 489602, Mode: Other
TimeStamp: 4944010, Mode: Other
TimeStamp: 4992010, Mode: Other
TimeStamp: 508802, Mode: Other
TimeStamp: 511202, Mode: Other
